"code","iso","country","GHN.ind.1995","GHN.ind.1996","GHN.ind.1997","GHN.ind.1998","GHN.ind.1999","GHN.ind.2000","GHN.ind.2001","GHN.ind.2002","GHN.ind.2003","GHN.ind.2004","GHN.ind.2005","GHN.ind.2006","GHN.ind.2007","GHN.ind.2008","GHN.ind.2009","GHN.ind.2010","GHN.ind.2011","GHN.ind.2012","GHN.ind.2013","GHN.ind.2014","GHN.ind.2015","GHN.ind.2016","GHN.ind.2017","GHN.ind.2018","GHN.ind.2019","GHN.ind.2020","GHN.ind.2021","GHN.ind.2022"
4,"AFG","Afghanistan",29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,29.3118332764959,28.7318456480121,29.0178735345881,29.8405998862438,31.6569009059949,34.7413631202135,39.3680485659045,45.0954465793352,45.2686627957273,45.2686627957273,45.2686627957273,45.2686627957273
8,"ALB","Albania",100,100,100,100,100,64.0186425391307,55.5894281132792,52.9775931773702,50.6391449340233,49.3338760431133,48.1806703023566,48.7841330613239,51.1392540077134,53.7624821117592,55.6872762943088,56.8988619808708,56.5494685352745,56.78859980549,54.7388285598912,51.7405954713612,52.3108884069296,52.8224918629303,51.8540391151404,53.1034201761015,53.8969008205791,53.8969008205791,53.8969008205791,53.8969008205791
12,"DZA","Algeria",15.5396825181492,15.5396825181492,15.5396825181492,15.5396825181492,15.5396825181492,16.1127524579611,18.954463661627,21.4306018862228,21.6482329610598,23.7726305309731,19.6925514821396,17.5744279151685,17.3330917522393,15.4005708361068,14.8495556281274,14.0284603666264,14.217867098284,13.5138021257038,12.9968671863776,12.1120171731779,10.5242740402314,9.5606392053452,9.16888895882232,8.53164960435797,8.58240677926646,8.58240677926646,8.58240677926646,8.58240677926646
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",17.981293491369,17.981293491369,17.981293491369,17.981293491369,17.981293491369,18.7190736149764,20.1741018263705,22.3009206472071,24.2341370550855,25.6672361932848,26.0662747872628,28.1556793544863,29.4515922543761,29.0508243330293,28.5629453501828,26.5295826603147,26.3271281044123,25.9242960735974,24.7688763046771,21.6704106209798,21.0673486458412,21.414402372949,22.2599537115829,24.6282442149059,26.36241461569,26.36241461569,26.36241461569,26.36241461569
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",87.4668878448733,87.4668878448733,87.4668878448733,87.4668878448733,87.4668878448733,86.1410706732574,85.5474447811674,84.3584075249064,83.300486627857,82.7155146880663,82.5664161065712,82.5161536573865,82.1618344485396,82.0351510886965,81.5819804115991,82.1995034794153,83.5739123797799,84.1484220420547,84.6842560210635,85.3331616143021,85.4566259876947,85.5189322237987,85.3931978435181,84.8385964770449,83.5178878907871,83.5178878907871,83.5178878907871,83.5178878907871
32,"ARG","Argentina",10.5334857790102,10.5334857790102,10.5334857790102,10.5334857790102,10.5334857790102,10.4491977480913,11.1385994719624,12.0130890690174,11.274674332027,9.66926744356229,8.72710442040633,7.34440559383742,6.6795824298942,6.03772301652195,6.72109263237175,7.37593354949669,8.56041718647469,10.4023243928354,11.7906607158832,12.0904342182034,12.4551853376092,11.7981083198138,11.1447869568546,10.3987504148513,11.7497486967884,11.7497486967884,11.7497486967884,11.7497486967884
51,"ARM","Armenia",100,100,100,100,100,74.0091303184902,66.8692511542332,58.4968639845065,57.7121791991548,56.4179368861039,52.5478806267471,51.2092933585659,48.9849688937758,47.0649161116104,48.6202201829764,49.6669476646517,49.5564546108713,49.0523915033683,49.8626024807089,50.7466432187459,51.7615783791711,50.9152572125947,50.3078489989805,47.1567739839322,47.4537223159383,47.4537223159383,47.4537223159383,47.4537223159383
533,"ABW","Aruba",72.9921121562053,72.9921121562053,72.9921121562053,72.9921121562053,72.9921121562053,60.8944833395895,57.7270107271239,56.0044099297756,54.6849563687032,54.2008660879494,54.1446456242237,55.1005733191436,56.5398770975826,60.1428817856717,66.9966626875418,69.7114166606223,71.7828881317468,80.6779361869169,100,100,100,100,100,100,100,100,100,100
36,"AUS","Australia",3.6963370868686,3.6963370868686,3.6963370868686,3.6963370868686,3.6963370868686,1.95838048006387,0.634884239830924,0,2.23081116042304,2.16179035722409,4.44102933123797,4.20031824823016,5.24009434951624,7.15948057794067,6.80687672205261,7.14736050998685,2.14791530144994,0.0586287604629376,3.51727102397088,4.35963192318872,6.75224286657918,9.32919630827699,8.83062596686391,10.5461863464361,13.6048875325993,13.6048875325993,13.6048875325993,13.6048875325993
40,"AUT","Austria",28.1712374666909,28.1712374666909,28.1712374666909,28.1712374666909,28.1712374666909,28.8644358828494,27.5290970279531,27.3731000212453,25.828994441723,25.7735592988807,25.0740454298542,24.1881701336883,24.3777602876774,24.6628994232306,24.9872498187477,23.2628534276772,23.497702779192,25.2809413791001,25.4629131777439,26.6596095406228,27.1146245662551,27.2034799821214,27.8410086872468,30.7602654375671,31.4186187543464,31.4186187543464,31.4186187543464,31.4186187543464
