"code","iso","country","PAR.ind.1995","PAR.ind.1996","PAR.ind.1997","PAR.ind.1998","PAR.ind.1999","PAR.ind.2000","PAR.ind.2001","PAR.ind.2002","PAR.ind.2003","PAR.ind.2004","PAR.ind.2005","PAR.ind.2006","PAR.ind.2007","PAR.ind.2008","PAR.ind.2009","PAR.ind.2010","PAR.ind.2011","PAR.ind.2012","PAR.ind.2013","PAR.ind.2014","PAR.ind.2015","PAR.ind.2016","PAR.ind.2017","PAR.ind.2018","PAR.ind.2019","PAR.ind.2020","PAR.ind.2021","PAR.ind.2022"
4,"AFG","Afghanistan",2.19570344206212,2.19570344206212,2.19570344206212,2.19570344206212,2.19570344206212,2.19570344206212,2.37096053239452,2.54621762272695,2.72147471305935,2.89673180339178,3.07198889372418,3.30999948334974,3.54801007297526,3.78602066260082,4.02403125222635,4.2620418418519,4.2620418418519,4.81102154497489,4.81102154497489,4.96340448101052,4.96340448101052,4.95653984702269,5.00779777054738,5.05905569407203,5.11031361759671,5.1615715411214,5.1615715411214,5.1615715411214
8,"ALB","Albania",20.6555160528833,20.6555160528833,20.6555160528833,20.6555160528833,20.6555160528833,20.6555160528833,21.7886104466531,22.9217048404228,24.0547992341925,25.1878936279622,26.3209880217319,27.9543411250521,29.5876942283719,31.2210473316921,32.8544004350119,34.487753538332,34.487753538332,35.6447129813914,35.6447129813914,38.2570942148068,38.2570942148068,38.6046237719989,39.2065327877913,39.8084418035837,40.4103508193764,41.0122598351688,41.0122598351688,41.0122598351688
12,"DZA","Algeria",2.49059617968481,2.49059617968481,2.49059617968481,2.49059617968481,2.49059617968481,2.49059617968481,2.76615572029903,3.04171526091321,3.31727480152742,3.5928343421416,3.86839388275582,3.89313760519609,3.91788132763636,3.94262505007659,3.96736877251685,3.99211249495712,3.99211249495712,6.97481387040387,6.97481387040387,7.01269471152274,7.01269471152274,7.01548831909343,7.27302849395197,7.5305686688105,7.78810884366904,8.04564901852757,8.04564901852757,8.04564901852757
20,"AND","Andorra",79.269402281491,79.269402281491,79.269402281491,79.269402281491,79.269402281491,79.269402281491,80.7976488845871,82.3258954876833,83.8541420907794,85.3823886938756,86.9106352969718,89.3719229516917,91.833210606412,94.294498261132,96.7557859158523,99.2170735705722,99.2170735705722,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",24.7080855584485,24.7080855584485,24.7080855584485,24.7080855584485,24.7080855584485,24.7080855584485,24.842715954067,24.9773463496854,25.1119767453038,25.2466071409222,25.3812375365407,26.0606190207455,26.7400005049506,27.4193819891555,28.0987634733606,28.7781449575654,28.7781449575654,29.6163704907002,29.6163704907002,29.7314575718176,29.7314575718176,29.7927020454828,29.9003275679179,30.0079530903529,30.115578612788,30.223204135223,30.223204135223,30.223204135223
660,"AIA","Anguilla",21.638591332408,21.638591332408,21.638591332408,21.638591332408,21.638591332408,21.638591332408,22.4052097791794,23.1718282259509,23.9384466727223,24.7050651194938,25.4716835662652,27.4025200603826,29.3333565545,31.264193048617,33.1950295427343,35.1258660368517,35.1258660368517,35.5650832271329,35.5650832271329,35.6196421442185,35.6196421442185,35.6201196839744,35.6201196839744,35.6201196839744,35.6201196839744,35.6201196839744,35.6201196839744,35.6201196839744
28,"ATG","Antigua and Barbuda",32.8881147417627,32.8881147417627,32.8881147417627,32.8881147417627,32.8881147417627,32.8881147417627,34.0904643385992,35.2928139354353,36.4951635322717,37.6975131291078,38.8998627259443,41.7582008105195,44.6165388950951,47.4748769796703,50.3332150642459,53.1915531488211,53.1915531488211,53.6606165738318,53.6606165738318,53.7224579721917,53.7224579721917,53.7229355119473,53.7229355119473,53.7229355119473,53.7229355119473,53.7229355119473,53.7229355119473,53.7229355119473
32,"ARG","Argentina",7.56427700631416,7.56427700631416,7.56427700631416,7.56427700631416,7.56427700631416,7.56427700631416,8.13080868315697,8.69734035999973,9.26387203684254,9.83040371368531,10.3969353905281,11.3727114748873,12.3484875592465,13.3242636436057,14.3000397279649,15.2758158123241,15.2758158123241,15.8661623967824,15.8661623967824,16.1122028173995,16.1122028173995,16.1127281111308,16.382508226852,16.6522883425731,16.9220684582943,17.1918485740154,17.1918485740154,17.1918485740154
51,"ARM","Armenia",12.665165660523,12.665165660523,12.665165660523,12.665165660523,12.665165660523,12.665165660523,13.0411303224665,13.41709498441,13.7930596463534,14.1690243082969,14.5449889702404,15.222283605713,15.8995782411856,16.5768728766583,17.2541675121309,17.9314621476035,17.9314621476035,18.602262242399,18.602262242399,18.8977996586918,18.8977996586918,18.9351910215611,18.1602902446522,17.3853894677432,16.6104886908343,15.8355879139253,15.8355879139253,15.8355879139253
533,"ABW","Aruba",10.5231969019283,10.5231969019283,10.5231969019283,10.5231969019283,10.5231969019283,10.5231969019283,10.7980735606919,11.0729502194555,11.3478268782191,11.6227035369827,11.8975801957463,12.5466641701525,13.1957481445587,13.8448321189648,14.493916093371,15.1430000677772,15.1430000677772,15.5912546979346,15.5912546979346,15.6401667074096,15.6401667074096,15.6406084316836,15.6406084316836,15.6406084316836,15.6406084316836,15.6406084316836,15.6406084316836,15.6406084316836
36,"AUS","Australia",10.4499064879263,10.4499064879263,10.4499064879263,10.4499064879263,10.4499064879263,10.4499064879263,12.3000865173102,14.150266546694,16.0004465760779,17.8506266054618,19.7008066348457,20.6585532057294,21.6162997766131,22.5740463474968,23.5317929183805,24.4895394892642,24.4895394892642,32.2523899420215,32.2523899420215,40.3734310270156,40.3734310270156,40.3742667215883,41.7231076077245,43.0719484938607,44.4207893799973,45.7696302661335,45.7696302661335,45.7696302661335
