"code","iso","country","GHP.ind.1995","GHP.ind.1996","GHP.ind.1997","GHP.ind.1998","GHP.ind.1999","GHP.ind.2000","GHP.ind.2001","GHP.ind.2002","GHP.ind.2003","GHP.ind.2004","GHP.ind.2005","GHP.ind.2006","GHP.ind.2007","GHP.ind.2008","GHP.ind.2009","GHP.ind.2010","GHP.ind.2011","GHP.ind.2012","GHP.ind.2013","GHP.ind.2014","GHP.ind.2015","GHP.ind.2016","GHP.ind.2017","GHP.ind.2018","GHP.ind.2019","GHP.ind.2020","GHP.ind.2021","GHP.ind.2022"
4,"AFG","Afghanistan",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,98.8622858181087,95.4543650850482,98.4059905479656,100,100,100,100,100,100,100,100,100,100
8,"ALB","Albania",72.8171177937024,74.4740381240124,78.0603082647194,77.1687017901087,71.2699822433871,70.5183116617889,69.6676714668827,67.0132607334018,65.017256366356,65.6524940881654,65.1627324184126,66.5086288773104,66.9897628106857,65.870805122123,66.1865676160518,65.0993822249209,62.9718840690942,63.8716775880017,62.8972704405725,60.1790664197753,63.4249186071577,63.3678316173926,60.551945140243,62.3569503486319,61.4981225052271,61.4981225052271,61.4981225052271,61.4981225052271
12,"DZA","Algeria",40.4285005708006,40.225905585801,43.506832457343,41.0462335048437,43.4470745294165,43.0510145593328,45.7578492219449,46.0081354918126,44.3461617184353,45.6985917316238,42.6586643576151,43.317868985459,43.8680351897126,43.5906690083323,44.0083822139916,44.1045273178871,44.1262287627884,42.461152452698,42.7145963446984,41.1971517048301,40.5931295836926,40.562989419767,40.8565167974504,40.2324090392425,40.6115576409666,40.6115576409666,40.6115576409666,40.6115576409666
20,"AND","Andorra",28.3575598034601,26.9909871417741,26.4637609334218,25.8272925125643,25.078279597172,24.962253169626,25.6286482783489,26.4267466171814,27.4863308143698,27.4982386038061,27.8336357543782,29.9440452976922,30.6218965857719,31.0732646142657,32.5242780833182,32.2746902060217,33.444558124812,33.2272108212826,33.3523161919905,33.6921181818932,33.228030498256,32.8165312331359,32.897237371743,33.5355694257347,34.5503240460928,34.5503240460928,34.5503240460928,34.5503240460928
24,"AGO","Angola",43.5043439139415,42.6384297266679,44.2391077352428,42.844143386794,44.287065630752,46.6490390467314,48.2070537655474,48.6305969310488,47.8765128764316,47.8095166602115,49.2904804252033,53.2909349112413,53.8943195848345,54.7417230521676,55.4974268501934,53.7743273568201,54.9767625757886,55.720597102575,56.398717137981,54.6635270534416,57.2685202982759,58.2008105973145,59.5255867651847,62.2100289261355,62.3094763381223,62.3094763381223,62.3094763381223,62.3094763381223
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",50.3625778115148,49.5868134450089,48.5424497857841,47.7895347254586,47.2077400991175,46.8549185797785,46.9711508920879,44.8507516563133,43.5119018602513,42.843559723567,42.68230394972,42.4204255059286,41.539162788282,41.3626568535685,40.3111840329444,41.410927518809,42.3586681794816,41.8464217165129,41.938398550035,42.2379896581608,41.5383096572464,41.1767969866876,41.1889907945098,40.6794253049591,39.9864814067438,39.9864814067438,39.9864814067438,39.9864814067438
32,"ARG","Argentina",32.3983696532613,32.4233596899227,32.0399121583067,32.5606878615809,31.4816633207677,31.9281096277553,33.1536650108152,34.139159869998,31.7724310474447,29.7498921467816,29.7900759531735,28.651325903516,28.9962167537763,28.3978324638767,30.6334281934904,30.880970293317,30.8637058787939,30.649911054794,30.8550308394068,30.9590597930283,31.1997970782522,31.2537201599593,31.3278987353504,31.9616509832501,33.4329351099778,33.4329351099778,33.4329351099778,33.4329351099778
51,"ARM","Armenia",82.4538911875876,86.7950581542915,82.1935746381876,81.5414133240759,83.3664938533479,80.5000686228236,79.8478091149591,81.2701834274054,78.4348029517751,76.019309780354,71.8283487160744,69.9590325274092,67.4686705047997,65.1051497673142,69.5681463131454,69.8468999176894,66.6718611529475,62.8896107713167,63.5358483763796,63.5210307701276,64.6165385702702,62.360705916901,62.3855120268902,58.4933704202721,59.3896328554018,59.3896328554018,59.3896328554018,59.3896328554018
533,"ABW","Aruba",28.683641019928,28.7204664855771,27.6043908947185,26.1062223094879,26.2085152376218,0,0,0,0,0,0,0,0,0,0,0,0,16.9314504567558,30.2197912692263,30.1148115149047,29.5348292883198,30.2937203615113,29.0094580794127,28.240591961417,27.328006605993,27.328006605993,27.328006605993,27.328006605993
36,"AUS","Australia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.298783125483581,0.298783125483581,0.298783125483581,0.298783125483581
40,"AUT","Austria",23.3445426355725,21.7054975252052,22.4420633575535,22.9489684411754,24.0337566688838,24.1965301408799,23.0097007361434,22.4039394055948,20.2314805039457,20.8706208039453,20.6777584139093,21.0474295429232,21.9862153506729,21.9562156253542,21.0196742925435,17.4036581991855,18.5438058279905,20.8759909730665,20.9809211584233,21.9926668907765,21.9620540916858,21.5556905346265,21.2961883017904,22.9958518467217,22.1969312096324,22.1969312096324,22.1969312096324,22.1969312096324
31,"AZE","Azerbaijan",44.534265005082,46.5724389978637,47.8674315585003,46.4874149367144,48.3638094444293,47.7336582313549,48.7596506819278,48.8421898619422,47.2250077759995,45.942591089111,44.1513088785245,43.6956033882699,44.2655643905107,41.540007392961,45.482087197639,46.6832207399942,45.5205267898867,44.0229804979594,43.7142237520267,43.4008329176952,43.2710293322933,43.7896605199644,44.8595371383186,44.0451610223972,42.1167748899943,42.1167748899943,42.1167748899943,42.1167748899943
44,"BHS","Bahamas",36.6638506673003,37.0435375526439,40.6900665117572,34.6328391432383,34.4365575972324,34.9292252668215,36.4493063571466,36.0951094927858,36.3924925566582,36.322575280942,39.2197851484477,40.4232133715394,40.480199272252,33.5814883184761,44.5853210174272,34.58066624475,42.0835054567592,40.982403556814,30.0339502834129,35.848116908766,40.1048276520435,43.590186385281,41.5174727047451,41.1970516933428,40.414035529963,40.414035529963,40.414035529963,40.414035529963
48,"BHR","Bahrain",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,"BGD","Bangladesh",98.1207821971281,98.5788691847884,98.8280530953283,99.4472914892608,98.5389671960203,98.5025254481337,97.7179520632486,97.5787236794313,97.6019546679302,97.5237301969795,97.0264456816414,96.0878536563322,96.0208775057687,94.8265646886159,94.3749531288294,93.5940159011354,93.1367691685676,92.7097910348449,92.722035248091,92.0203073741749,90.9321205037818,90.8906166764667,90.0349463090999,89.2369275622837,88.1007194117501,88.1007194117501,88.1007194117501,88.1007194117501
52,"BRB","Barbados",54.2562115058775,53.8756152585556,52.0642646407494,47.1455599487021,45.8647924735871,45.9871045439311,45.8974598734412,46.0609436965721,45.1365276433951,44.5663554083464,43.8590865470048,43.9086914588629,43.5606539690716,39.220855493699,39.6579731756827,42.0907210533919,41.0595458502749,42.2547003999236,42.6819453632737,46.4453900364124,46.2951541306239,45.8841011840699,48.5725133208024,47.8145067655548,46.9528190092971,46.9528190092971,46.9528190092971,46.9528190092971
112,"BLR","Belarus",30.0322003042767,30.0361775760663,30.2697470693974,30.7409859250254,31.4605778663425,32.4023106583523,32.4978326205448,32.3717711541381,31.6794002034387,29.7800308419171,29.1439221255373,27.6853061356097,28.1010927124657,26.6746026907555,27.4411255129764,26.5486202333975,22.0119782098109,21.998972283117,21.9847017766435,22.0927394772843,23.3873516010069,23.7626094939801,23.2360669257495,21.7880453983648,21.0919771439931,21.0919771439931,21.0919771439931,21.0919771439931
56,"BEL","Belgium",14.8652134786845,13.6699658976713,14.2171051769715,13.4546539182167,14.4818219473646,14.2923157696708,14.7173970615605,16.1221248451016,15.0717954998572,15.4541514841502,16.2815891593945,16.9204187515378,17.9223889248796,17.927697411441,18.6964789395905,16.7735374149839,19.2826290061132,20.9907612821648,20.3760620275682,21.5608266614475,20.8883718317612,21.577464894988,21.6930532065933,20.4473068819768,21.5436029635491,21.5436029635491,21.5436029635491,21.5436029635491
84,"BLZ","Belize",60.2989040761419,64.832008932733,61.2739032994524,62.4813581355237,62.9220912337033,60.4247642698339,58.7032910563154,59.4655586844676,57.9238345439495,64.0959272985769,62.631945477822,63.2437925888099,61.7159283002422,63.4382074400032,60.4569193501326,61.4010538085413,59.1994406278512,64.194175284465,61.4301314248824,63.5957487370347,59.1190298952933,59.9966522631705,60.4357330288496,61.1996272264936,59.2862067107222,59.2862067107222,59.2862067107222,59.2862067107222
204,"BEN","Benin",96.0119907180021,93.9819840550823,93.8606743633404,93.9493695657374,93.6304262573184,92.9903975542887,96.1890411367294,93.3621792186192,94.1402407247674,94.6419482782173,93.1535887125306,92.1297010918312,90.6312529244065,92.2359180772091,91.5556146765827,89.9736051516058,90.4942646446999,91.461737311796,90.504220812806,90.4892369885015,89.8189199063686,88.3241804962348,87.8184289422222,87.5653700576879,87.9190023229989,87.9190023229989,87.9190023229989,87.9190023229989
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",69.2823641604403,67.9423078276954,66.6116088718942,67.2835416627102,67.0573547221283,68.4300555754792,70.040178131371,69.3294537894312,70.7229900567934,72.5535194999792,69.1126388236363,69.7529122333291,69.6035234741993,70.2457517423454,66.5356081782672,64.9245107813169,62.338949826626,61.9264307264367,61.1965779129453,60.6752939514812,60.0517939772029,58.0755566748027,56.7068988096677,57.0489494735038,56.643970747874,56.643970747874,56.643970747874,56.643970747874
68,"BOL","Bolivia",47.2640768236854,40.3702591953872,32.62380676505,32.1073793675502,33.3538824867697,35.4919302530606,42.5384476219693,44.3754162252189,42.3486599830416,36.4777436181699,33.9198326011989,32.727688452253,33.5182877125519,32.7452099118628,32.4165643366436,30.3229844588565,30.0562147749247,28.7221380699619,28.2037215472065,27.8205124140722,27.5561717498147,26.8222143641075,26.6296496974717,26.5728808626571,25.6738172188363,25.6738172188363,25.6738172188363,25.6738172188363
70,"BIH","Bosnia and Herzegovina",82.4439372064815,79.3151412343145,62.0004073719619,55.6981633564317,55.3238588300206,48.6755644302776,49.7111428506853,48.4280031624104,47.4536056635567,44.8453238416882,43.5574252850127,41.1402119839475,41.0738209391824,37.6127584852763,36.2556695376139,34.9839933370851,31.4147535865339,32.7846453639723,32.6185060142546,33.957163558276,34.3778026541614,30.2461942631442,29.6295736616363,29.2847946444018,27.1805962260893,27.1805962260893,27.1805962260893,27.1805962260893
72,"BWA","Botswana",28.5486365232135,26.8942715355056,28.6413507851823,30.1326481188931,31.4707132314634,31.5538195853358,27.6869768995635,27.6636359141566,46.2131555112296,44.7789921983557,41.4023607143288,36.7393595905262,42.2973701904832,24.7397818913911,45.6000911650533,22.4325999549635,18.0355742675792,35.1993464222213,36.5263711671998,40.3905683888614,45.4898976514184,45.9092320992565,37.5057662904178,42.3513909184205,48.1932960458356,48.1932960458356,48.1932960458356,48.1932960458356
