"code","iso","country","FGA.ind.1995","FGA.ind.1996","FGA.ind.1997","FGA.ind.1998","FGA.ind.1999","FGA.ind.2000","FGA.ind.2001","FGA.ind.2002","FGA.ind.2003","FGA.ind.2004","FGA.ind.2005","FGA.ind.2006","FGA.ind.2007","FGA.ind.2008","FGA.ind.2009","FGA.ind.2010","FGA.ind.2011","FGA.ind.2012","FGA.ind.2013","FGA.ind.2014","FGA.ind.2015","FGA.ind.2016","FGA.ind.2017","FGA.ind.2018","FGA.ind.2019","FGA.ind.2020","FGA.ind.2021","FGA.ind.2022"
4,"AFG","Afghanistan",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.93678530888828,17.0299526108672,30.4263193908558,41.0966470842625,48.1092785512755,51.4601976697954,54.740375579468,56.9728995418182,58.4363275637679,59.3965081444151,59.3965081444151,59.3965081444151,59.3965081444151
12,"DZA","Algeria",88.6095392301458,88.6095392301458,88.6095392301458,88.6095392301458,88.6095392301458,58.5269391581034,42.8790182360009,29.5001301307315,35.1331788713004,46.3939088212272,70.1274274037997,83.7079901689467,91.1948403266908,90.4558686144664,82.4704490808844,67.4749091885288,61.6682442548311,52.7710505023702,55.4991010016288,57.9873803189541,66.1138638970324,72.1140538153256,75.8831462560996,77.3486343636735,76.4613414554071,76.4613414554071,76.4613414554071,76.4613414554071
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.00775607118075,32.7309725268706,47.8439732750843,49.672797890739,53.9632852620253,56.4650200062828,57.2798714414117,57.7465959153289,57.7465959153289,57.7465959153289,57.7465959153289
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,3.52883449077615,14.0187126908305,21.4796450439006,27.3287261821343,34.2382522091452,41.1293073907775,47.395377938158,51.7133605154535,54.3671899392241,56.6822999492976,58.6163076438281,60.0131937720641,60.9207264473645,60.9207264473645,60.9207264473645,60.9207264473645
32,"ARG","Argentina",100,100,100,100,100,100,100,92.4527130977528,72.3008669298528,48.722768599962,43.3902739892177,49.2504870857633,35.0742912559943,33.9877022654856,35.5530727986951,36.7187921873829,45.0455346156322,46.7342671812571,32.8791071282595,6.78458427708382,0,0,0,0,10.5639508067705,10.5639508067705,10.5639508067705,10.5639508067705
51,"ARM","Armenia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4034222566353,36.657292713596,47.4261158215874,50.4866532810701,54.4603072084598,56.9663972620819,58.0530967432061,58.5574539281906,58.5574539281906,58.5574539281906,58.5574539281906
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",100,100,100,100,100,88.997923821036,75.2037031004834,62.2645532461697,50.7274382713293,44.5371903375696,40.6354890242925,40.3580701971227,41.6651751528227,42.7712375107296,43.9258101601206,46.1399928559047,48.1909691201661,53.6569770402698,57.9274811999844,60.5169322614621,61.1335113620352,61.6826534169639,62.9155647087146,64.4361779432768,63.4592271715307,63.4592271715307,63.4592271715307,63.4592271715307
40,"AUT","Austria",75.1275264966369,75.1275264966369,75.1275264966369,75.1275264966369,75.1275264966369,88.3414557804403,99.4061858871394,100,100,96.6763817982723,86.6690999217446,68.7891827563261,53.2926453764819,44.9376206104136,24.1742336878643,7.10524167184528,1.24334062845823,3.79719299998376,6.31218186002778,12.839740379687,27.5310299288532,42.7769747861391,61.9421411672792,85.6896593321322,89.8845237630167,89.8845237630167,89.8845237630167,89.8845237630167
31,"AZE","Azerbaijan",100,100,100,100,100,100,100,80.8385639787868,19.796788368113,0,0,0,0,0,0,0,16.2776087039092,50.5491402989503,60.6120682477808,60.7390647732419,58.7076565982395,58.3532663076829,54.5894298363044,50.8021097633023,54.4084413666075,54.4084413666075,54.4084413666075,54.4084413666075
44,"BHS","Bahamas",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
48,"BHR","Bahrain",100,100,100,100,100,100,100,100,100,100,98.8282980973986,86.5560369730661,74.8278083716131,64.8596903986468,58.5429872875703,55.0305417329276,57.0084758419628,64.1336753085243,72.4612328592898,82.6628581271748,85.1633804360807,83.8658954546267,82.517826308877,80.9314653081832,80.0008531367146,80.0008531367146,80.0008531367146,80.0008531367146
50,"BGD","Bangladesh",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
