"code","iso","country","CHA.ind.1995","CHA.ind.1996","CHA.ind.1997","CHA.ind.1998","CHA.ind.1999","CHA.ind.2000","CHA.ind.2001","CHA.ind.2002","CHA.ind.2003","CHA.ind.2004","CHA.ind.2005","CHA.ind.2006","CHA.ind.2007","CHA.ind.2008","CHA.ind.2009","CHA.ind.2010","CHA.ind.2011","CHA.ind.2012","CHA.ind.2013","CHA.ind.2014","CHA.ind.2015","CHA.ind.2016","CHA.ind.2017","CHA.ind.2018","CHA.ind.2019","CHA.ind.2020","CHA.ind.2021","CHA.ind.2022"
4,"AFG","Afghanistan",7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,7.15112741877891,4.77594884595089,4.79895910629619,7.34458954034139,15.1056862484495,25.3670992920849,37.3286189585704,45.0111802433066,50.1522125091466,50.1522125091466,50.1522125091466,50.1522125091466
8,"ALB","Albania",59.2271920535305,59.2271920535305,59.2271920535305,59.2271920535305,59.2271920535305,58.696313334797,54.560444136267,69.513754206781,82.8534637641609,75.6353519503697,67.0866687049695,61.382920562206,64.2077165552805,76.1994646787312,87.4925021379698,91.050564817428,94.6489928003683,90.5299157776992,81.5666495541545,69.1823751985221,57.3410859189906,49.7346727666989,45.5847410793248,44.8359586119846,50.0669732312188,50.0669732312188,50.0669732312188,50.0669732312188
12,"DZA","Algeria",29.4151989094972,29.4151989094972,29.4151989094972,29.4151989094972,29.4151989094972,28.4444039201026,36.8086960028601,48.0022435284397,50.7364099830003,59.2914699503565,56.1529317049616,48.573770841769,48.8847166708694,48.1454455579744,50.5426391945664,45.2831805183926,46.714257786568,50.774280983126,50.733923099332,50.6240342690845,48.886414922731,41.614238454873,38.4921880620887,32.8471645549166,36.0658845809591,36.0658845809591,36.0658845809591,36.0658845809591
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",0,0,0,0,0,0,0,3.52073427887763,28.6855591328851,36.3827865501804,40.9270888258821,49.5483239561553,57.9901041283424,58.6650225608521,60.4157371579298,54.8984653620281,56.2319271256769,57.0225056785592,54.4421230198854,48.3456427678905,38.7637032304,39.3521572032498,41.5555495385502,45.6188984953311,49.662355486534,49.662355486534,49.662355486534,49.662355486534
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",42.3862104874903,42.3862104874903,42.3862104874903,42.3862104874903,42.3862104874903,43.1442905639558,43.5269014203119,44.3305779744367,44.8905918310733,44.4669827265349,44.1540614501205,45.0394083266063,46.4542841002015,48.434760286349,50.2105559626166,62.8703461373497,75.2728265011898,82.0492788534105,79.1144607078511,64.7567847260829,53.101881282689,52.1888809846486,52.4124765983074,51.7375720346428,50.236241843532,50.236241843532,50.236241843532,50.236241843532
32,"ARG","Argentina",47.725979113572,47.725979113572,47.725979113572,47.725979113572,47.725979113572,47.1635217223882,47.5261908198083,45.7181694103272,41.4437481509879,36.5713628292119,32.6293687812397,30.6037428768066,31.1255154049821,35.6546038208609,41.7761012718354,51.8273913270663,66.8698076728717,81.7604212716785,84.8570378621278,80.8240872617499,73.2358286845701,61.9228087108878,50.0403603939636,43.1754849657994,40.2271466693604,40.2271466693604,40.2271466693604,40.2271466693604
51,"ARM","Armenia",76.8324178947363,76.8324178947363,76.8324178947363,76.8324178947363,76.8324178947363,73.9014066382679,61.9902702143592,49.3156771587166,45.7900378875548,40.2260984417377,36.5161729699479,31.7515074809444,31.4108328958531,33.4715503427061,38.7067452768921,44.8961297615655,51.123839868586,54.8520296071092,53.0257991552363,49.9303483795781,43.9733736465737,35.5684179827975,33.360343348205,33.9511468004603,40.0548908705658,40.0548908705658,40.0548908705658,40.0548908705658
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,36.0941769718783,62.9187673119724,92.6082886301996,99.9788085688658,100,100,93.6458532266172,72.616285530462,66.9395039080281,70.9931085091748,85.826791941384,100,100,100,100,100,100
36,"AUS","Australia",52.6945982278398,52.6945982278398,52.6945982278398,52.6945982278398,52.6945982278398,42.93138929754,31.4686106778077,24.8108284159085,35.8422075966973,37.7349683142447,48.1114068229302,53.8928909210545,63.9682967394421,88.838481068809,93.0750676313418,96.5065584236248,54.6085949323395,31.9571510441645,44.8593642248595,43.9507585006411,51.2992048506517,60.2439668155662,55.9639847486161,62.385396483751,83.6309185029481,83.6309185029481,83.6309185029481,83.6309185029481
40,"AUT","Austria",92.0329096507388,92.0329096507388,92.0329096507388,92.0329096507388,92.0329096507388,91.3583002597626,87.2629907652812,81.1091383768272,68.0241604600019,66.5041011403696,67.3354289868731,68.1439189244581,70.6934011594204,73.9666994015546,76.2172889041497,75.4556722814426,74.8250444225235,73.8515915125724,62.7722483027297,60.0321164918761,61.0688796273794,60.6599313746394,61.142850960607,63.9532057085661,70.4751460760949,70.4751460760949,70.4751460760949,70.4751460760949
31,"AZE","Azerbaijan",51.0341874817677,51.0341874817677,51.0341874817677,51.0341874817677,51.0341874817677,50.5268118861558,43.1973862805335,34.0937721663261,28.2818017352972,26.0632687454023,20.9955968129353,15.9075867931026,0,0,0,0,0,0,0,3.90548386341311,22.2411660779935,42.0061777657721,47.6330328838703,45.5452882770017,41.5620344337612,41.5620344337612,41.5620344337612,41.5620344337612
44,"BHS","Bahamas",30.7940988655286,30.7940988655286,30.7940988655286,30.7940988655286,30.7940988655286,29.9291268767225,29.9850160338164,30.4742933766624,32.6727536169595,31.674985989299,32.3900310987812,32.835071425292,32.9893424740066,31.925120241762,32.101960158992,33.6501345400654,33.6894550001649,34.858730179959,36.3237976750836,35.8423558660871,37.0365732766386,38.2415398248436,38.2817264423716,38.4229630163595,39.3200530165116,39.3200530165116,39.3200530165116,39.3200530165116
48,"BHR","Bahrain",30.1266036090166,30.1266036090166,30.1266036090166,30.1266036090166,30.1266036090166,41.763250429881,46.1163354949791,48.2432329835054,50.6510884256268,53.9919437619398,55.0176481467396,53.572860471859,61.7536050446807,58.3914076914996,48.0969884047073,41.5702008402447,33.4254863265122,23.3720204949055,12.9705713402552,5.86939761126089,3.08143408536591,6.23987231719032,13.1049856296612,15.945224174263,16.0416260975944,16.0416260975944,16.0416260975944,16.0416260975944
50,"BGD","Bangladesh",40.0858559724191,40.0858559724191,40.0858559724191,40.0858559724191,40.0858559724191,38.8470130934262,38.3924515717695,37.3213208110363,36.8106367810467,36.7114823893299,35.842727058962,35.2855696315219,35.1181339706983,34.6160828090322,33.1047783698423,31.8035421884943,31.3151711853736,31.008984125499,31.2432767736732,32.870218157148,34.383769030124,36.2995885206107,37.587453432637,37.6944634913962,37.7097053497728,37.7097053497728,37.7097053497728,37.7097053497728
52,"BRB","Barbados",50.6533990557402,50.6533990557402,50.6533990557402,50.6533990557402,50.6533990557402,46.6590455099451,47.8955533491831,50.6059260555663,54.3716940318293,60.1943362880306,67.2498683807128,77.3091825685605,89.7215086123249,93.4624543075394,92.4247398359395,82.7403151159207,73.8176471266208,67.4514820778572,60.7067366221099,53.7871195079752,51.8216816926969,52.3461387010673,53.1175563146905,53.0821706256538,54.9524438239562,54.9524438239562,54.9524438239562,54.9524438239562
112,"BLR","Belarus",68.8201676463743,68.8201676463743,68.8201676463743,68.8201676463743,68.8201676463743,78.6965524174307,87.6840722778117,93.0131024818972,89.0412282477072,78.1885278047051,75.2091084607712,70.1704100597788,66.7259062760693,54.3649742863118,45.8995236701282,40.5163574953784,37.1352857072262,34.8728448797812,32.8775330851647,30.3678422541624,31.4012302158355,34.1938602065059,38.8784581564749,41.4978868366577,43.6587034362616,43.6587034362616,43.6587034362616,43.6587034362616
56,"BEL","Belgium",53.730548016707,53.730548016707,53.730548016707,53.730548016707,53.730548016707,52.6591371289396,52.8644209763428,54.7973749372237,55.4864308076876,50.6650866926875,47.6067348120696,47.3422897859123,47.724034806408,49.4240320847194,49.5397434750108,49.1681819860516,49.8642383981802,53.6202199895333,56.7690256992696,54.599153820471,52.6566596794132,52.5985254153318,53.6040245616822,54.9576546442582,55.4910777287994,55.4910777287994,55.4910777287994,55.4910777287994
