"code","iso","country","BCA.ind.1995","BCA.ind.1996","BCA.ind.1997","BCA.ind.1998","BCA.ind.1999","BCA.ind.2000","BCA.ind.2001","BCA.ind.2002","BCA.ind.2003","BCA.ind.2004","BCA.ind.2005","BCA.ind.2006","BCA.ind.2007","BCA.ind.2008","BCA.ind.2009","BCA.ind.2010","BCA.ind.2011","BCA.ind.2012","BCA.ind.2013","BCA.ind.2014","BCA.ind.2015","BCA.ind.2016","BCA.ind.2017","BCA.ind.2018","BCA.ind.2019","BCA.ind.2020","BCA.ind.2021","BCA.ind.2022"
562,"NER","Niger",18.9688699966338,18.9688699966338,18.9688699966338,18.9688699966338,18.9688699966338,17.2246905140225,16.058743960769,15.2368989794971,14.3006643222924,13.5107735390352,13.2932209938945,14.5383679642073,16.1315739996164,18.7554497785465,21.5604935270604,19.3520422349072,34.3377224140128,42.7459577890982,30.492534750579,19.9779290390033,12.0731231224498,6.05227727092847,0.678586928643853,0,0.525886916841884,0.525886916841884,0.525886916841884,0.525886916841884
566,"NGA","Nigeria",43.5753843022706,43.5753843022706,43.5753843022706,43.5753843022706,43.5753843022706,46.4252135740622,47.0556437999652,46.6530221800634,44.7996121558205,44.2736081867777,44.5852531274955,44.4193813115569,44.3548670478488,45.4883265430593,47.2214178816875,45.7407060066138,44.5520259645056,42.5707198775437,37.5484926543823,33.3661845450957,32.3154817115778,32.7611209952691,35.6882559219583,39.7089990916334,46.1978953586765,46.1978953586765,46.1978953586765,46.1978953586765
570,"NIU","Niue",28.6480788671692,28.6480788671692,28.6480788671692,28.6480788671692,28.6480788671692,39.3327379766746,54.8685652459506,62.1428922184595,63.1677005340112,64.1925088495629,65.2173171651147,66.2421254806664,67.2669337962181,68.2917421117698,69.3165504273215,70.3413587428732,71.3661670584249,72.3909753739766,56.7785334263217,41.0986093059537,32.5607224291343,21.6571549214256,27.8974788197001,39.0028770566011,57.1192679728426,57.1192679728426,57.1192679728426,57.1192679728426
408,"PRK","North Korea",73.0094486076733,73.0094486076733,73.0094486076733,73.0094486076733,73.0094486076733,73.0094486076733,73.0094486076733,73.0094486076733,73.0094486076733,73.0094486076733,61.0318338072915,55.3510298735268,62.9464205517997,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565,67.8663314018565
807,"MKD","North Macedonia",70.2287464589146,70.2287464589146,70.2287464589146,70.2287464589146,70.2287464589146,65.6654136346723,100,100,100,100,99.9601854526633,72.6479130862365,55.712948523487,57.3309578049324,47.4570315616083,37.424981955332,59.2041397383591,80.826265919435,86.2900224192858,72.3435419006761,60.4634805784801,51.2757700114067,45.9948261469579,52.9720756469272,60.1811840682563,60.1811840682563,60.1811840682563,60.1811840682563
578,"NOR","Norway",61.8864535694443,61.8864535694443,61.8864535694443,61.8864535694443,61.8864535694443,64.9188242973157,70.312480654034,76.7092250970064,80.3107987165734,83.589720477103,91.1969744496928,88.1586580863285,89.0569809230583,90.2013911709785,83.34179071622,100,100,100,100,100,100,100,100,100,100,100,100,100
512,"OMN","Oman",32.9950612841949,32.9950612841949,32.9950612841949,32.9950612841949,32.9950612841949,35.7928163491575,39.5210920289456,49.0893942435683,65.3121501914343,79.5249210372645,90.1808845337775,100,85.023069823064,69.0905338393443,55.9400779185856,36.1276109750327,9.62896066423238,0,0,0,0,9.66583786526475,19.0617290742891,24.3444776335239,38.2390841884249,38.2390841884249,38.2390841884249,38.2390841884249
586,"PAK","Pakistan",30.0898792531488,30.0898792531488,30.0898792531488,30.0898792531488,30.0898792531488,31.5534619360525,34.0060375692781,36.3881786967031,37.0015484567507,37.5801662694763,39.3394801914731,40.3504447844352,40.0764532529892,41.8877434085382,42.6402599976596,44.8790672892955,47.311218598515,49.9269255866888,51.5595893473922,51.3118799913249,50.5235573018594,48.5206721024336,42.6664187260022,40.5087339216877,41.1244135387083,41.1244135387083,41.1244135387083,41.1244135387083
585,"PLW","Palau",30.089286387197,30.089286387197,30.089286387197,30.089286387197,30.089286387197,30.089286387197,30.089286387197,19.7751392961971,25.8666436100994,14.2507273629691,20.8362257534256,17.5463753724709,47.2167944197199,73.5676827558624,99.9185710920049,100,58.605899863527,20.3252509998163,0,0,0,0,0,7.30029852792886,43.1683066416942,43.1683066416942,43.1683066416942,43.1683066416942
591,"PAN","Panama",29.8039608953014,29.8039608953014,29.8039608953014,29.8039608953014,29.8039608953014,32.3993198412814,32.0398946527875,31.6386950459329,41.4238685325122,37.8005248524599,35.9279670326456,32.545746751877,28.5719488587978,21.0421351171914,9.80596501052186,4.60862726110851,0,0,4.65326519097607,5.66399017444506,15.4815647645976,27.575690614121,38.9373967909243,49.6498414449677,57.191394546688,57.191394546688,57.191394546688,57.191394546688
598,"PNG","Papua New Guinea",30.749909742077,30.749909742077,30.749909742077,30.749909742077,30.749909742077,28.2441235535739,26.6794921310963,29.4778915118908,37.8459842912941,40.795958138867,52.7231654906855,55.9596179362986,55.7221835810621,56.3420824473444,58.1405561713484,60.241578977993,57.6538585559117,56.2147814820251,56.6245650893174,55.0783331822679,55.7350791118782,56.69235521342,55.5301066987201,57.9283390784805,60.6510962276668,60.6510962276668,60.6510962276668,60.6510962276668
600,"PRY","Paraguay",57.8065385816569,57.8065385816569,57.8065385816569,57.8065385816569,57.8065385816569,67.7238128959137,73.5716935866534,81.5778594396749,88.2238898435044,97.0195698174326,100,100,100,99.2833802561932,88.9898476198961,80.0436204219513,73.0499890694212,72.0500993168395,74.0975833492799,72.8095685347223,73.2033671147764,58.9574395083087,46.8013161767299,37.4974522171328,31.159070870912,31.159070870912,31.159070870912,31.159070870912
604,"PER","Peru",77.0566720974613,77.0566720974613,77.0566720974613,77.0566720974613,77.0566720974613,81.0196874327783,98.4029781542764,100,100,100,93.6262543345734,77.4183798251064,63.8521008569668,61.7103720013784,45.5124630707444,25.8558680447747,16.0777381623788,17.1820993638948,22.0439474233912,24.5132121076333,34.3096635831228,44.4802250562171,55.0650977772111,75.6584139026334,94.0077167143624,94.0077167143624,94.0077167143624,94.0077167143624
608,"PHL","Philippines",77.0410134816702,77.0410134816702,77.0410134816702,77.0410134816702,77.0410134816702,86.9064251094144,100,100,100,100,100,100,100,100,100,100,100,93.7910180419962,78.0106194566234,66.3507038939642,56.1515612854516,46.2080939580659,35.6185536060742,31.2395191249576,30.0754303922521,30.0754303922521,30.0754303922521,30.0754303922521
616,"POL","Poland",73.0938277874251,73.0938277874251,73.0938277874251,73.0938277874251,73.0938277874251,99.2805432964843,100,100,100,100,99.6933507384175,76.0900086204842,63.2502515792258,56.8735099950921,50.5764154385546,48.3294571149232,50.4001539599693,55.1756945137264,66.4983117655656,82.7338053232589,100,100,100,100,100,100,100,100
620,"PRT","Portugal",58.0444580058935,58.0444580058935,58.0444580058935,58.0444580058935,58.0444580058935,64.0782302644452,70.9674410454004,77.4322161382679,98.4624559987454,100,100,100,100,100,100,100,100,100,100,100,94.7549216907372,99.1702660010296,100,100,100,100,100,100
634,"QAT","Qatar",7.04232396531937,7.04232396531937,7.04232396531937,7.04232396531937,7.04232396531937,2.31369473148526,0.925268121769221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.3730482683532,26.663597202222,23.5998512482524,26.064015575041,26.064015575041,26.064015575041,26.064015575041
