"code","iso","country","SNM.ind.1995","SNM.ind.1996","SNM.ind.1997","SNM.ind.1998","SNM.ind.1999","SNM.ind.2000","SNM.ind.2001","SNM.ind.2002","SNM.ind.2003","SNM.ind.2004","SNM.ind.2005","SNM.ind.2006","SNM.ind.2007","SNM.ind.2008","SNM.ind.2009","SNM.ind.2010","SNM.ind.2011","SNM.ind.2012","SNM.ind.2013","SNM.ind.2014","SNM.ind.2015","SNM.ind.2016","SNM.ind.2017","SNM.ind.2018","SNM.ind.2019","SNM.ind.2020","SNM.ind.2021","SNM.ind.2022"
4,"AFG","Afghanistan",44.0158569791286,44.9401281453432,46.9318855585951,47.4092200059568,45.0267602899348,46.9357682805112,46.0249138512263,49.757632251882,49.3703398034876,46.1352562652072,50.0904622276536,46.9947650053665,51.9727979648151,53.0789419099578,55.3792976213012,55.1984773268021,45.9301195688027,39.6627028897115,49.6548729495126,52.4742197363703,50.9721940232691,50.9721940232691,50.9721940232691,50.9721940232691,50.9721940232691,50.9721940232691,50.9721940232691,50.9721940232691
8,"ALB","Albania",32.740191294678,32.8774958055807,35.0642583094345,32.0495131213412,32.0141277504596,33.9759682041329,32.4734962618435,28.2721642849675,26.6323173945311,28.0952203093413,28.662950215449,29.8936975686668,30.1133888382696,34.6552988762107,35.6437964578075,38.7839543851579,39.0616381656766,38.855783598125,40.5539027430335,40.4553142454587,37.5832710572564,37.5832710572564,37.5832710572564,37.5832710572564,37.5832710572564,37.5832710572564,37.5832710572564,37.5832710572564
12,"DZA","Algeria",39.1229334046523,33.4703988517423,28.0224567047908,38.560890644685,37.1826221976127,27.4066276625869,40.7481353554413,40.6088449266607,32.8699710801673,39.7546936610433,14.9301399951453,45.3586907236584,43.2576014981641,44.525756845958,44.2997946477035,46.7652312666591,48.8438315587766,49.0960550334501,49.653890905428,42.9491840712817,44.8324873831158,44.8324873831158,44.8324873831158,44.8324873831158,44.8324873831158,44.8324873831158,44.8324873831158,44.8324873831158
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",24.672298060306,24.9743870964242,25.9231479817492,27.3752696548788,28.690845791284,30.9766440149168,32.3598580891241,33.6451856018532,33.3792257378895,30.1827129881537,33.2032695640107,32.1046683360935,30.5061716886722,33.2620220889757,32.2573577227001,31.4084911519853,33.8272747790272,28.6513159822178,34.6526347283433,30.1034309588159,29.3317125962029,29.3317125962029,29.3317125962029,29.3317125962029,29.3317125962029,29.3317125962029,29.3317125962029,29.3317125962029
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",2.41881137588523,3.39178633110636,3.41960930233682,3.35601820967645,2.6678654295317,2.83838295457721,2.8253049663909,2.83431744244329,2.66866455591362,3.02424636678924,2.54666993238691,2.73997962949133,3.68916031508265,3.54531219208589,3.42013662027189,4.49517870595527,3.6568560664077,3.59588753794993,3.67946712458608,3.98048977799154,5.0581152942362,5.0581152942362,5.0581152942362,5.0581152942362,5.0581152942362,5.0581152942362,5.0581152942362,5.0581152942362
32,"ARG","Argentina",75.10391008678,69.8809315832704,78.2280690689459,82.9884108081845,80.1118396375509,81.4626342934708,79.4674456139981,78.157349052374,74.3836412945704,74.3359824507047,76.9687996889396,73.792855020326,73.5365246873668,76.9470428030163,76.3845371278319,74.2416071354343,75.9918119834204,78.0429237086447,76.3305335761227,77.1658215382414,78.3657339264138,78.3657339264138,78.3657339264138,78.3657339264138,78.3657339264138,78.3657339264138,78.3657339264138,78.3657339264138
51,"ARM","Armenia",46.1770025134769,47.7420741699132,39.7738583322096,46.4851531705371,49.9344815113969,42.4664200323303,52.8947148982425,43.6091433239167,42.3632101935666,50.7277498601325,51.5897735399495,49.0176317843908,62.1616956928638,60.879428487581,53.0541499040834,49.6455099171117,59.5785734923161,53.576130411063,56.4904718607655,62.951424550483,57.619138653199,57.619138653199,57.619138653199,57.619138653199,57.619138653199,57.619138653199,57.619138653199,57.619138653199
533,"ABW","Aruba",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
36,"AUS","Australia",55.2817248496903,59.8148303116659,55.0007586820269,55.3187158621985,57.4229878350149,54.1502468235417,53.0771750709351,58.969949190084,51.3631535554154,55.9878483019757,51.3366326760789,59.6765682706607,52.2827079913097,40.4091524825217,50.8730491607387,49.3915914731282,58.1527695422402,60.7592902881901,51.1027863718265,52.0483434599836,49.2214314593366,49.2214314593366,49.2214314593366,49.2214314593366,49.2214314593366,49.2214314593366,49.2214314593366,49.2214314593366
40,"AUT","Austria",61.6094653600196,59.7964504401195,63.0498726555356,62.3592383896685,64.0172273697267,62.2566385650749,64.1264296859226,56.8186438844637,45.5213686876133,69.280184032544,68.8537049254438,66.8705889011776,72.3781970054119,78.2147237018167,76.777229776118,72.6488184021715,79.7027295431539,69.8651546230346,68.4600018071591,70.640610852508,67.9955522490424,67.9955522490424,67.9955522490424,67.9955522490424,67.9955522490424,67.9955522490424,67.9955522490424,67.9955522490424
