"code","iso","country","BHV.ind.1995","BHV.ind.1996","BHV.ind.1997","BHV.ind.1998","BHV.ind.1999","BHV.ind.2000","BHV.ind.2001","BHV.ind.2002","BHV.ind.2003","BHV.ind.2004","BHV.ind.2005","BHV.ind.2006","BHV.ind.2007","BHV.ind.2008","BHV.ind.2009","BHV.ind.2010","BHV.ind.2011","BHV.ind.2012","BHV.ind.2013","BHV.ind.2014","BHV.ind.2015","BHV.ind.2016","BHV.ind.2017","BHV.ind.2018","BHV.ind.2019","BHV.ind.2020","BHV.ind.2021","BHV.ind.2022"
84,"BLZ","Belize",50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824,50.3824
204,"BEN","Benin",38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761,38.7761
60,"BMU","Bermuda",65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698,65.7698
64,"BTN","Bhutan",39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664,39.3664
68,"BOL","Bolivia",57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198,57.6198
70,"BIH","Bosnia and Herzegovina",40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786,40.6786
72,"BWA","Botswana",57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964,57.1964
76,"BRA","Brazil",54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779,54.1779
92,"VGB","British Virgin Islands",32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293,32.2293
96,"BRN","Brunei Darussalam",56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914,56.914
100,"BGR","Bulgaria",34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603,34.4603
854,"BFA","Burkina Faso",28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775,28.4775
108,"BDI","Burundi",39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093,39.5093
