"code","iso","country","NDA.ind.1995","NDA.ind.1996","NDA.ind.1997","NDA.ind.1998","NDA.ind.1999","NDA.ind.2000","NDA.ind.2001","NDA.ind.2002","NDA.ind.2003","NDA.ind.2004","NDA.ind.2005","NDA.ind.2006","NDA.ind.2007","NDA.ind.2008","NDA.ind.2009","NDA.ind.2010","NDA.ind.2011","NDA.ind.2012","NDA.ind.2013","NDA.ind.2014","NDA.ind.2015","NDA.ind.2016","NDA.ind.2017","NDA.ind.2018","NDA.ind.2019","NDA.ind.2020","NDA.ind.2021","NDA.ind.2022"
4,"AFG","Afghanistan",31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,31.3196818803472,25.2629437315152,20.2075248962152,16.5542062526543,21.1535135779038,27.5719253663513,37.5389451514564,55.0400433643704,63.658957007185,63.658957007185,63.658957007185,63.658957007185
8,"ALB","Albania",77.2374781750848,77.2374781750848,77.2374781750848,77.2374781750848,77.2374781750848,64.8463550369179,69.9009178889755,72.7272566667004,73.0403367936381,62.7129590985997,51.2091037847494,52.0128000569623,61.119259532932,72.3260245964849,88.6921140573463,100,100,100,100,94.6419699850689,79.4419705981429,69.4115475544171,63.9453309518126,70.4434206363161,76.8726088598517,76.8726088598517,76.8726088598517,76.8726088598517
12,"DZA","Algeria",73.1101451382553,73.1101451382553,73.1101451382553,73.1101451382553,73.1101451382553,67.16177790517,57.586605774241,51.6659828340111,38.9001102094407,25.3303470272693,31.0835468054476,41.5585880223935,43.8704023284243,42.7467334835967,36.5194341721815,31.7732398387886,24.9664906209582,22.7999345359727,20.8398880250803,11.2299628670556,14.5624337179794,26.8067880098375,31.0921682854232,41.9302731520107,46.2932543844229,46.2932543844229,46.2932543844229,46.2932543844229
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",98.8478605872272,98.8478605872272,98.8478605872272,98.8478605872272,98.8478605872272,98.077662776667,92.8718817468968,75.9658387735896,56.319561654836,39.0948481528948,25.9742306404399,30.7117578002303,35.103117284858,38.738458648065,50.6629364647821,59.3324114557359,67.0710434093772,75.4865007288781,70.5462167264205,67.355305490998,62.2692600371849,64.1387331380475,60.4175281566026,69.93940598763,70.3586739845652,70.3586739845652,70.3586739845652,70.3586739845652
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",34.0821559402361,34.0821559402361,34.0821559402361,34.0821559402361,34.0821559402361,34.2380693570902,34.2366347664279,35.1923292872895,35.6704429720367,36.1579475149365,37.3211996460418,38.7313562624542,42.1452171158705,45.421607703558,41.9965658857707,56.9426079946132,65.2657562309386,71.3341547649499,71.1116469360821,68.782584079228,66.8652991479328,65.5282752560798,76.7051408019637,88.1269062643552,78.9708136611848,78.9708136611848,78.9708136611848,78.9708136611848
32,"ARG","Argentina",64.1308759966306,64.1308759966306,64.1308759966306,64.1308759966306,64.1308759966306,61.3627801335908,60.9205885844693,60.1268017902527,54.324693619907,48.374031500437,45.7726269866141,42.7628364218414,38.2001790969678,40.1319412524053,54.4397874857436,63.6217432469864,72.1984677596477,84.8847232616473,84.9631994640814,82.4793010018977,82.681894524556,73.7047708874785,58.6894704522382,47.2556004137292,47.6513469764137,47.6513469764137,47.6513469764137,47.6513469764137
51,"ARM","Armenia",100,100,100,100,100,100,100,85.8564242883921,63.3047055170042,50.0449302903919,42.6052496667104,6.86604549215112,0,0,0,9.57092683264067,25.6682176535805,21.1735774377479,21.6550247143135,27.1578375291493,32.6320108228526,0,0,0,0,0,0,0
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0.826555446397535,23.3554464176238,47.2748907953269,51.5006989644476,60.7290266496019,73.4537027089214,72.5742949870398,67.1615763644665,57.2737800758676,47.2118183412223,44.8751633301968,48.6759954752433,48.6759954752433,48.6759954752433,48.6759954752433,48.6759954752433,48.6759954752433
