"code","iso","country","NXA.ind.1995","NXA.ind.1996","NXA.ind.1997","NXA.ind.1998","NXA.ind.1999","NXA.ind.2000","NXA.ind.2001","NXA.ind.2002","NXA.ind.2003","NXA.ind.2004","NXA.ind.2005","NXA.ind.2006","NXA.ind.2007","NXA.ind.2008","NXA.ind.2009","NXA.ind.2010","NXA.ind.2011","NXA.ind.2012","NXA.ind.2013","NXA.ind.2014","NXA.ind.2015","NXA.ind.2016","NXA.ind.2017","NXA.ind.2018","NXA.ind.2019","NXA.ind.2020","NXA.ind.2021","NXA.ind.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7480816539674,59.3778413874231,70.9909969770759,70.9909969770759,70.9909969770759,70.9909969770759
8,"ALB","Albania",75.763091689671,75.763091689671,75.763091689671,75.763091689671,75.763091689671,32.0452076455896,0,0,0,0,0,0,33.501392584184,65.9371781363084,74.8651521822523,90.2749354932323,99.7770566706503,100,100,92.2558502696464,83.3677557258895,79.8037699582321,80.1460369909121,78.7413890032755,80.3695157204007,80.3695157204007,80.3695157204007,80.3695157204007
12,"DZA","Algeria",80.6875319572493,80.6875319572493,80.6875319572493,80.6875319572493,80.6875319572493,79.9650705199073,74.3374060824945,66.3387937144864,58.1851273299129,51.3128473977061,45.8069317435886,42.6708446062967,40.5566318567513,40.0684999973328,39.1452125279285,40.9721820817012,43.1511000042377,41.0129209060605,41.0838636509711,39.6913920628074,37.657026952914,39.3738291434919,41.535295371047,44.2862389494294,45.7454739990018,45.7454739990018,45.7454739990018,45.7454739990018
20,"AND","Andorra",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
24,"AGO","Angola",59.0739437077945,59.0739437077945,59.0739437077945,59.0739437077945,59.0739437077945,57.9180464671096,53.9556377398672,50.7324872180125,41.1371043628768,34.9805177335607,37.5142798307044,32.843516630455,25.7727221182142,21.7907464327815,8.69976826644086,0,0,0,0,0,0,11.3043960283549,34.4489831509639,51.5393255108808,61.8842120937348,61.8842120937348,61.8842120937348,61.8842120937348
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",33.5025685164505,33.5025685164505,33.5025685164505,33.5025685164505,33.5025685164505,39.4218500489213,44.0869589783472,50.2818383418748,52.2870792955609,50.4627045163291,49.6224230392552,44.2419742336974,42.8621650353118,39.1639510099811,34.8065417325617,34.2326047392369,35.9863795278162,25.26515366993,11.0119212888017,5.04930439972154,3.9199946717971,10.3853759036791,37.106527133646,61.5414881282558,86.4568752263851,86.4568752263851,86.4568752263851,86.4568752263851
32,"ARG","Argentina",42.2422909167782,42.2422909167782,42.2422909167782,42.2422909167782,42.2422909167782,48.1303343131342,56.6011387344611,65.9247203625186,70.625637666945,66.0953897447377,61.6219754139023,57.9380525452077,56.071366516837,48.4156325673992,44.9353081898655,41.566855653964,41.7501514224113,47.1686219160153,55.5274001398119,55.2613335390135,54.5048057220325,56.7106575992803,63.1170245834218,65.4779375881967,70.7339412707158,70.7339412707158,70.7339412707158,70.7339412707158
51,"ARM","Armenia",100,100,100,100,100,100,100,100,54.4791431622086,52.3015478836488,43.1897476888069,44.1358222009839,27.9237644697735,14.1154218780046,19.7402722678866,14.749748580016,10.0012919044221,12.7062820113974,21.3048114229319,31.4413703109756,41.299018449222,56.2615968260759,57.3503122442722,49.9705217114915,51.0423539455038,51.0423539455038,51.0423539455038,51.0423539455038
533,"ABW","Aruba",42.3623226104003,42.3623226104003,42.3623226104003,42.3623226104003,42.3623226104003,39.3611946635396,34.1758372689063,42.2562021559444,48.0215722966016,52.4677824041382,56.6300192363213,76.7430848723309,82.8825812939895,92.7039289056671,91.1477712571167,88.6383123983349,84.3093036502846,64.5952823336031,40.9445932212592,18.2300069054655,6.50881211227373,0.366822158795728,12.1329072009569,12.1329072009569,12.1329072009569,12.1329072009569,12.1329072009569,12.1329072009569
36,"AUS","Australia",68.7849424270405,68.7849424270405,68.7849424270405,68.7849424270405,68.7849424270405,68.1958336280444,69.795014111405,68.6423055211987,67.6803808918802,67.9716373735269,66.5069895749994,65.2761861269994,63.6692930109482,62.8896308723707,63.2990997534624,65.6304528570656,70.0124894984136,72.8183530605781,76.9140202892611,81.8330247829201,83.7665742836246,87.7554399727846,86.2963934674757,82.0257564600321,77.1931064106584,77.1931064106584,77.1931064106584,77.1931064106584
40,"AUT","Austria",82.1781708992683,82.1781708992683,82.1781708992683,82.1781708992683,82.1781708992683,78.784571649402,69.6461357594551,64.4068900463297,59.3883835344351,57.8329098819195,57.5301954993917,58.2525115178505,64.6709661922081,71.9474731901442,89.9459715669528,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",78.215831029492,78.215831029492,78.215831029492,78.215831029492,78.215831029492,83.2380702723414,100,100,100,100,89.9455590005856,78.2203398380028,78.9630949508489,74.2950369001832,91.850249073712,98.2468939910048,100,100,88.981200386791,76.1790613200155,67.0925341782515,61.0639777230274,58.4221489546696,52.1294692858958,55.4070142276345,55.4070142276345,55.4070142276345,55.4070142276345
