"code","iso","country","GRL.ind.1995","GRL.ind.1996","GRL.ind.1997","GRL.ind.1998","GRL.ind.1999","GRL.ind.2000","GRL.ind.2001","GRL.ind.2002","GRL.ind.2003","GRL.ind.2004","GRL.ind.2005","GRL.ind.2006","GRL.ind.2007","GRL.ind.2008","GRL.ind.2009","GRL.ind.2010","GRL.ind.2011","GRL.ind.2012","GRL.ind.2013","GRL.ind.2014","GRL.ind.2015","GRL.ind.2016","GRL.ind.2017","GRL.ind.2018","GRL.ind.2019","GRL.ind.2020","GRL.ind.2021","GRL.ind.2022"
4,"AFG","Afghanistan",87.7908651686112,87.7908651686112,87.7908651686112,86.7312741753332,86.8685133593634,86.8685133593634,96.0689853710092,96.0689853710092,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,84.5806014421002,84.5806014421002,82.4256389374434,79.9736484371585,55.0818795003342,55.4104137866086,55.4104137866086,50.7758335929535,41.7612027821288,44.7579109706296,44.8100773807397,44.8100773807397,44.8100773807397
8,"ALB","Albania",87.8629817061206,87.8629817061206,87.8629817061206,87.8629817061206,99.9999999999997,55.1288192136071,52.3995388790976,52.3995388790976,50.9010904583195,48.9026650032846,56.9640069574727,59.5646450403392,55.4170677031941,41.2040274441653,40.3250960577916,40.3250960577916,40.6155683388966,41.4680222798846,59.2249880441742,99.9999999999997,63.9704760651946,34.4076235218777,32.1765365751144,27.5311205539613,25.8656359138677,24.2136981000281,24.2136981000281,24.2136981000281
12,"DZA","Algeria",58.4163372451851,58.4163372451851,58.4163372451851,58.4163372451851,58.4163372451851,99.9999999999997,99.9999999999997,99.9999999999997,44.0835422032911,44.0835422032911,44.0835422032911,44.0835422032911,44.0835422032911,99.9999999999997,51.1777149660409,51.1777149660409,51.1777149660409,51.1777149660409,51.1777149660409,99.9999999999997,51.3278924263079,51.3278924263079,51.3278924263079,51.3278924263079,47.161332136459,58.4130166611472,58.4130166611472,58.4130166611472
20,"AND","Andorra",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,61.734301674342,61.734301674342,61.734301674342,61.734301674342,50.5337790782294,54.6899773836773,50.5302744135399,50.5302744135399,33.2595893621239,34.6380802343767,34.6380802343767,35.4039662737737,35.4039662737737,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997
24,"AGO","Angola",69.5804612713598,69.5804612713598,69.5804612713598,69.8197146502439,70.0970867629003,70.0970867629003,99.9999999999997,99.9999999999997,57.3839575205843,46.732040590845,45.6426361262947,43.7467192823386,42.066830705041,41.1827158694003,35.9173137838724,33.7444930152122,32.9788568729356,31.1423919610075,31.5818592926004,36.5409950323765,40.0467293121827,40.8502666031149,46.5250540862923,48.795903414539,46.1334614839736,41.733065332385,41.733065332385,41.733065332385
660,"AIA","Anguilla",49.7613696624434,49.7613696624434,49.7613696624434,42.6244690360079,38.4389561743371,33.1603416452918,33.1603416452918,35.4666993493008,38.4385718565927,42.623893286437,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,49.7608776069961,42.6240579430656,42.6240579430656,42.6240579430656,42.6240579430656,49.7608787227409,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997
28,"ATG","Antigua and Barbuda",45.2541742275135,45.2541742275135,45.2541742275135,43.664963422775,43.6649650123347,41.0727026326129,41.072873412154,43.664963422775,28.9808361139285,25.6539617160574,26.184656955165,25.6541546231767,24.905965606881,29.7292642005559,28.9992112893438,28.3082716928716,28.9990674501722,29.7394416570497,30.1231878633803,38.106481840866,38.1063917014158,39.0054567755369,39.989654387236,56.5263751946258,56.5263751946258,99.9999999999997,99.9999999999997,99.9999999999997
32,"ARG","Argentina",95.5859340635215,95.5859340635215,95.5859340635215,97.3128732560364,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,69.475242348985,60.1244946921581,59.7546885483782,59.7546885483782,59.660457024867,54.1501942228716,55.1049901561411,55.3394856234277,55.3394856234277,54.1847820738166,54.1847820738166,54.1847820738166
51,"ARM","Armenia",99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,48.4351342988704,40.0508871236825,38.5766444313671,34.8063390202518,34.8063390202518,38.0128990413651,43.9074078793442,33.4575619348875,36.5366963270853,36.2636191207466,36.1665696012507,30.0504444145015,37.0733408671083,34.8454340628433,31.0046755690011,28.6623010236685,28.6623010236685,28.6623010236685
533,"ABW","Aruba",99.9999999999997,99.9999999999997,99.9999999999997,45.146269121571,45.146269121571,45.146269121571,45.146269121571,45.146269121571,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,99.9999999999997,45.1460459166113,45.1460459166113,30.8301575057,25.0404541171341,7.25987787047137,0,0,0,0,0,6.49315882901884,7.52935369125235,7.52935369125235,7.52935369125235
