"code","iso","country","TBG.ind.1995","TBG.ind.1996","TBG.ind.1997","TBG.ind.1998","TBG.ind.1999","TBG.ind.2000","TBG.ind.2001","TBG.ind.2002","TBG.ind.2003","TBG.ind.2004","TBG.ind.2005","TBG.ind.2006","TBG.ind.2007","TBG.ind.2008","TBG.ind.2009","TBG.ind.2010","TBG.ind.2011","TBG.ind.2012","TBG.ind.2013","TBG.ind.2014","TBG.ind.2015","TBG.ind.2016","TBG.ind.2017","TBG.ind.2018","TBG.ind.2019","TBG.ind.2020","TBG.ind.2021","TBG.ind.2022"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14376075223724,1.14376075223745,1.1437607522376,1.14376075223763,1.14376075223759,1.14376075223755,1.14376075223766,24.8804490139622,24.8812585420009,24.8812585420006,35.387877065655,51.5276403581219,51.5276403581223
8,"ALB","Albania",5.45423946565116,7.51285884229671,15.6335605264928,16.4208540125941,16.4208540125945,27.7999979489128,27.7999979489137,27.7999979489136,27.8985987029305,29.3027712354195,33.5957600429844,44.180295594406,55.8154366949105,64.1569654144147,79.0753218980171,79.0753218980171,80.7998745425647,82.5732730983394,88.2849758799959,90.63924767186,90.63924767186,90.6392476718594,90.6392476718594,90.6392476718594,100,100,100,100
12,"DZA","Algeria",1.70238787690235,1.70238787690261,1.70238787690426,1.70238787690539,1.70238787690551,1.7032264683613,1.70322646836055,21.8551043728964,21.8551043728786,27.3842718043913,28.7257927646082,28.7257927646068,28.7180345314232,28.7180345314148,28.7180345314033,28.8996708508194,28.8996708508209,29.0004289189842,29.0004289190033,29.0004289190014,29.0004289190075,29.0004289190124,29.0004289190158,29.0004289190229,29.0004289190249,29.2072722001303,29.2072722001292,29.2072722001313
20,"AND","Andorra",31.6258999797819,31.6258999797819,31.6258999797819,31.6258999797819,31.6258999797819,31.6258999797819,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
24,"AGO","Angola",36.5845978227076,36.5845978226789,36.5845978226656,36.5845978226611,36.5845978226551,36.5845978226507,36.5845978226999,36.5845978227098,36.584597822724,36.5845978227031,36.5845978227234,36.5845978227303,36.5845978227283,36.584597822726,36.5845978226875,36.5845978226841,36.5845978226761,36.5845978815674,36.5845978815523,36.5845978815464,36.5845978815372,36.5845978815376,36.5845978815328,36.5845978815358,36.5845978815364,36.5845978815371,36.5845978815366,36.5845978815369
660,"AIA","Anguilla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"ATG","Antigua and Barbuda",54.9459356408478,54.9459356408644,54.9459356408785,54.9459356408699,54.9459356408714,54.9459356409206,54.9459356409092,54.9459356409162,54.9459356409394,54.9459356409428,54.9459356409491,84.3002363167053,84.3002363167047,84.3002363167047,84.8388487623806,84.8388487623806,84.83884876238,84.8388487623871,84.8388487623865,84.8388487623865,84.83884876344,84.83884876344,84.8388487634418,84.8388487634441,84.8388487634441,84.8388487634459,84.8388487634459,84.8388487634459
32,"ARG","Argentina",29.7423003196581,30.4217829296406,30.9066773479119,32.3958704986126,32.5176021962969,34.1647274783523,36.2352497669426,43.1181440807328,43.433685713204,50.9152149914248,54.4383942611511,54.7830748403918,55.1726286999141,55.1966506612785,55.3764908276312,55.4505125680506,55.471033081524,55.4941058440892,55.6313543521116,55.6793217271301,55.8040864305135,56.4054669400142,56.4093405875887,56.5855067469816,56.7215340816349,56.7480461077941,56.7480461077935,56.7480461077949
51,"ARM","Armenia",99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9427426074506,99.9983560847435,99.9983560847435,99.9983560847435,99.9983560847435,99.9983560847435,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712,99.9983503053712
533,"ABW","Aruba",2.34329395462478,2.34329395462485,2.34329395462484,2.34329395462482,2.34329395462484,2.34329395462485,52.7550085404918,52.7550085404914,52.7550085404928,52.7550085404918,52.7550085404924,52.7550085404927,52.7550085404925,52.7550085404925,52.7550085404907,52.7550085404906,52.7550085404901,52.7550085404907,52.7550085404896,52.7550085404892,52.7550085404887,52.7550085404886,52.7550085404885,52.7550085404885,52.7550085404885,52.7550085404885,52.7550085404885,52.7550085404885
36,"AUS","Australia",35.7168718414104,35.9549010549748,36.5372797347075,37.1325367444178,37.4726947303486,38.6569378555686,40.5439603744944,40.8144617732378,45.6522278044457,46.2772496766068,48.6488988516783,49.7833123238576,50.9369724700686,53.8093429657849,54.9289294728982,58.5955788851744,60.2668019905647,65.2089641394665,68.8914767135106,72.89863166422,74.4311015089688,76.7537045995053,79.6466518677553,80.8886185299529,81.6572969162929,82.1561976005535,90.4464570144518,90.4464570144524
40,"AUT","Austria",93.0870946877588,93.4350713881894,95.2124622939812,95.8768376949618,97.44649278216,98.1056699027065,98.3046370201759,99.8207198549788,99.9020623135318,99.9184718225512,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
31,"AZE","Azerbaijan",38.6779990534645,38.6779990534682,38.6779990534784,38.6779990534762,38.6779990534783,38.6779990534765,38.6779990534695,40.8043158942658,40.8043158942619,46.8606761782334,51.5362911252759,51.7632698935065,59.9787626655059,59.9787626655,62.0161162665,62.0618646553618,62.0618646553629,62.0618646553647,62.0618646553641,62.0618646553629,62.0618646553524,62.0618646553512,62.0618646553506,62.0618646553535,62.16330445936,62.1633044593647,62.1633044593641,62.1633044593647
44,"BHS","Bahamas",3.45830495711865,3.45830495709922,3.45830495710465,38.2171209977622,38.2171209977671,38.2171209977702,38.2171209977432,38.2171209977491,46.6439517125661,46.6439517125163,46.6439517125473,46.6439517125596,46.6439517125523,46.6439517125446,46.6439517124605,46.6468911354881,46.6468911354646,46.6468911354935,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323,99.9999855922323
48,"BHR","Bahrain",4.75371906009386,4.75371906009386,4.75371906009386,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657802003005,12.0657800663487,12.0657800663487,12.0657800663487,14.6690146123036,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346,14.6690147802346
50,"BGD","Bangladesh",88.6265192534341,88.6265192535794,88.6334900193694,88.6334900193459,88.6334900193912,88.6662590082906,88.7186470464547,88.71883842929,88.7188384291406,88.7188384292594,88.7209904749729,88.7223783129047,88.7268276271594,88.7386314970776,88.7386314972724,88.8036405179306,88.9042660365547,88.9061267540824,88.9061267541624,88.90937117737,88.9093711774259,88.9093711774306,88.9093711774482,88.9093711774412,88.9093711774447,88.9093711774429,88.9093711774429,88.9093711774429
52,"BRB","Barbados",2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201,2.8058042594201
112,"BLR","Belarus",77.4341342462012,77.5306670332935,77.6911927295341,77.6911927295341,77.6911927295341,77.7283601219812,77.7283601219812,77.8199361648859,77.8335398528859,77.8335398528859,77.8335398528859,77.8416282032106,77.8416282032106,77.8416282032106,77.8416282032106,77.8416282032106,79.0504316349982,79.0504316349982,79.06948186999,80.1240377207353,80.1997039998035,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312,80.2520589568312
56,"BEL","Belgium",20.2963878132092,20.4875604610597,20.6689674396722,21.0721385838943,21.2940034527943,22.1383477065057,23.5011925609315,23.8354616827968,24.2773585420259,41.0785870760355,41.2430800930086,41.4352728787982,41.5242956191175,41.7351643862007,41.7968977917597,42.4856580969835,42.5247521752615,42.5600804785028,42.6074484546967,42.7368389957575,50.8187582076215,53.6208396765453,86.3633701786924,86.4613426096982,86.8216530410829,90.5235208908582,90.7408962942341,90.7612390831559
84,"BLZ","Belize",74.7674612543618,74.7674612542171,82.6373338955365,82.63733389555,87.9408872351382,87.9408872351247,87.9408872353041,92.4626853937053,93.1975179957241,93.1975179955347,93.1975179955829,93.2302193417935,93.2306769152547,93.7978462446994,93.7978462446512,93.7986750068035,94.6794801063118,94.67948010633,96.604431790813,96.6358937594312,96.6358937594235,96.6358937594241,96.6358937594218,96.6358937594235,96.6358937594229,96.6358937594235,96.6358937594235,96.6358937594235
204,"BEN","Benin",98.8360332753806,98.8360332753812,98.8360332753812,98.8360332753812,98.8360332753812,98.8360332753812,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
60,"BMU","Bermuda",9.92154143281265,9.92154143281265,9.92154143281265,9.92154143281265,9.92154143281265,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789,13.3265026221789
64,"BTN","Bhutan",97.9521739906494,97.9521739906494,97.9521739906494,97.9521739906494,97.9521739906488,98.4579861501271,98.4579861501265,98.4579861501265,98.4579861501265,98.4579861501271,98.4579861501265,98.4579861501259,98.4673203794365,98.4673203794353,100,100,100,100,100,100,100,100,100,100,100,100,100,100
68,"BOL","Bolivia",42.5425341675453,48.8580283538881,48.9048902459805,85.1586941396106,87.6401503228623,87.6434011765353,90.3233606226147,90.4747493244382,96.56131643078,96.5613164307806,96.5617657587559,96.561765758753,96.6068231916365,96.6537133355941,96.6537133355953,96.6537133355947,96.6537133355935,96.6537133321518,96.6537133321541,96.6537133321541,96.6537133321535,96.6537133321535,96.6537133321547,96.6537133321523,96.6537133321523,96.6537133321512,96.6537133321518,96.6537133321518
