"code","iso","country","WWT.ind.1995","WWT.ind.1996","WWT.ind.1997","WWT.ind.1998","WWT.ind.1999","WWT.ind.2000","WWT.ind.2001","WWT.ind.2002","WWT.ind.2003","WWT.ind.2004","WWT.ind.2005","WWT.ind.2006","WWT.ind.2007","WWT.ind.2008","WWT.ind.2009","WWT.ind.2010","WWT.ind.2011","WWT.ind.2012","WWT.ind.2013","WWT.ind.2014","WWT.ind.2015","WWT.ind.2016","WWT.ind.2017","WWT.ind.2018","WWT.ind.2019","WWT.ind.2020","WWT.ind.2021","WWT.ind.2022"
84,"BLZ","Belize",0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915,0.412421815339915
204,"BEN","Benin",9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752,9.6030598693752
60,"BMU","Bermuda",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
64,"BTN","Bhutan",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,"BOL","Bolivia",3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509,3.509
70,"BIH","Bosnia and Herzegovina",1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147,1.147
72,"BWA","Botswana",0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
76,"BRA","Brazil",52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409,52.409
92,"VGB","British Virgin Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888
96,"BRN","Brunei Darussalam",5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344,5.82347424425344
