"code","iso","country","MPA.ind.1995","MPA.ind.1996","MPA.ind.1997","MPA.ind.1998","MPA.ind.1999","MPA.ind.2000","MPA.ind.2001","MPA.ind.2002","MPA.ind.2003","MPA.ind.2004","MPA.ind.2005","MPA.ind.2006","MPA.ind.2007","MPA.ind.2008","MPA.ind.2009","MPA.ind.2010","MPA.ind.2011","MPA.ind.2012","MPA.ind.2013","MPA.ind.2014","MPA.ind.2015","MPA.ind.2016","MPA.ind.2017","MPA.ind.2018","MPA.ind.2019","MPA.ind.2020","MPA.ind.2021","MPA.ind.2022"
4,"AFG","Afghanistan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,4.49218749327206,4.49218749327206,4.49218749327206,4.68191791133886,4.68191791133886,4.68191791133886,4.68191791133886,14.683471897854,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976,14.6834718978976
12,"DZA","Algeria",0,0,0,0,0,0,0,0,0,0.198219504854248,0.198219504854248,0.198219504854248,0.198219504854248,0.198219504854248,0.198219504854248,0.198219504854248,0.198219504854248,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033,0.202083186055033
20,"AND","Andorra",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
24,"AGO","Angola",0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517,0.00280801898474517
660,"AIA","Anguilla",0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.585134750215439,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095,0.780137037634095
28,"ATG","Antigua and Barbuda",0.165146228663767,0.165146228663767,0.165146228663767,0.165146228663767,0.165146228663767,0.309941219223554,0.309941219223554,0.309941219223554,0.309941219223554,0.309941219223554,0.309941219223554,1.39311534699472,1.39311534699472,1.39311534699472,1.39311534703589,1.39311534703589,1.39311534703589,1.39311534703589,1.39311534703589,1.39311534703589,2.59558961055897,2.59558961055897,2.59558961055897,2.59558961055897,2.59558961055897,2.59558961055897,2.59558961055897,2.59558961055897
32,"ARG","Argentina",0.304716785114945,0.304716785114945,0.304716784502848,0.304821370435209,1.20574991568025,1.20895933945022,1.20895933938143,2.42539910551814,2.45623985482776,2.4562398548287,2.4562398548287,2.61398542637574,2.61398542637313,2.61398542637313,2.61433988287627,2.6143398828771,2.61433988287627,2.61678108308589,3.40248601877283,3.40248601734572,3.40248601734394,3.41992016973541,3.41992016973541,3.41992016973541,32.3644020862705,42.9505407875021,42.9505407875021,42.9505407875021
51,"ARM","Armenia",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
533,"ABW","Aruba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,"AUS","Australia",0.198051097198884,0.201349674830464,0.34005580670196,0.415173937929315,0.671248944814237,0.733467095823276,0.823371868864903,0.857614240085937,3.37495601998616,3.3759306074193,41.758674442867,42.2219042262468,42.962352084285,43.4780920999483,43.5238137285212,47.0175620876242,47.0570867190403,47.3480228229161,89.8850385035963,89.8853803936678,89.9032263212261,89.9034654004668,91.7601513000924,92.6686462088036,100,100,100,100
40,"AUT","Austria",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
31,"AZE","Azerbaijan",-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777,-7777
44,"BHS","Bahamas",1.1132324358421,1.1132324358421,1.1132324358421,1.11323243583905,1.11323243583905,1.11323243583905,1.11323243583905,1.11323243583905,1.32611316838446,1.32611316838446,1.32611316838446,1.32611316838446,1.32611316838446,1.32611316838446,1.65480685863104,1.85853393652198,1.86976132198983,1.86976132198983,1.86976132198983,1.86976132198983,1.86976132198983,71.2821751120124,71.2821751120124,71.2821751120124,71.2821751120124,71.2821751120124,71.2821751120124,71.2821751120124
