iso,country,PFL.raw.2006,PFL.raw.2007,PFL.raw.2008,PFL.raw.2009,PFL.raw.2010,PFL.raw.2011,PFL.raw.2012,PFL.raw.2013,PFL.raw.2014,PFL.raw.2015,PFL.raw.2016,PFL.raw.2017,PFL.raw.2018,PFL.raw.2019,PFL.raw.2020,PFL.raw.2021,PFL.raw.2022
AGO,Angola,0.0010847877849347,0.0014559693343315,0.0014344713413573,0.0016776353836053,0.0018497822453241,0.0020823641951694,0.0018817210236104,0.0024159539511202,0.0028757597497067,0.003182946017996,0.0038169093760131,0.0042714226898148,0.0046178359116359,0.0045374938525651,0.0045308372739578,0.0055311051185168,0.0058899447970482
ARG,Argentina,0.0048671826860738,0.0052919851221988,0.0067699196065461,0.0064405955769341,0.0064354933987779,0.0061301861155108,0.0064076819361427,0.006843885483983,0.0067745950511377,0.0058331334680668,0.0057368832185287,0.0053914580123891,0.0032527239664249,0.0027847161003925,0.0032512495219429,0.0030999534032438,0.003289985226513
AUS,Australia,4.49255802258289e-05,0.00031301204438,0.000307024275351,0.0003098986098146,0.0003367382746935,0.0002705887464119,6.69011755954989e-05,0.0001003026530155,0.0004121797087711,0.0004764031968768,0.0006127319839216,0.0006980558560292,0.0006578048849906,0.0002679679450342,0.0002227646745896,0.0001756271962479,0.000108752230969
BLZ,Belize,0.0027102435148756,0.0024610705870405,0.0025660870784319,0.0029615212657162,0.0032295445868671,0.0057024257266584,0.0061556066415894,0.0069867942597188,0.0077805229115509,0.0080950918359915,0.0072675203716541,0.0072382299351072,0.0066097379264177,0.0065613144693665,0.0081672953728808,0.0069789732508513,0.0065389504001743
BTN,Bhutan,0.0001387782392766,0.0001470224644977,0.0001762287716517,0.0001907282282126,0.0002533919906133,0.0002687181027343,0.0002847543747818,0.0002688205009977,0.0002699710086098,0.0002026909398571,0.0002430774767539,0.0003023368992309,0.0003291312175851,0.0003081182578884,0.0003322885278581,0.000294467185371,0.0002599310298506
BOL,Bolivia,0.0024549176471976,0.0026694090900573,0.0031760977633506,0.0032327037038965,0.003869298834756,0.0040840143127623,0.0042502075681943,0.0037686209755166,0.0038916318370366,0.0029878345931062,0.0033967984536771,0.0039948410070707,0.0043486087883726,0.0051190256488625,0.0060675718427848,0.0062894960634132,0.0068540727830883
BRA,Brazil,0.0049231268052898,0.004647975026407,0.0043592880746927,0.0035922759201738,0.0032010512658217,0.0028441294154468,0.0028246234271671,0.00256645717203,0.0027067335382072,0.0025178483563627,0.0036995216660735,0.004293036843329,0.0047096901150971,0.00495453460703,0.005464525903011,0.0047173190110822,0.0045064053550797
BRN,Brunei Darussalam,0.0011514813456758,0.0012279510567706,0.0014047902550921,0.0017096135705824,0.0016731865418196,0.0022384991917934,0.0024606856953162,0.0023901251982956,0.0024540870762581,0.0025850104930692,0.0023197091359178,0.0020412898729692,0.0019676226136283,0.0015352983311653,0.0014132927712464,0.0011478556724146,0.0011570369966542
KHM,Cambodia,0.0077458588486651,0.0085374879637408,0.0096896687523281,0.0106796430081948,0.0148254093253625,0.0186018791128448,0.0223213330802011,0.0257975410305563,0.0269264510734569,0.0243989165850228,0.02297346926155,0.020104443604429,0.0164790268342265,0.0152389010394332,0.0148496889055933,0.0134662519216865,0.0130753376059703
CMR,Cameroon,0.0005824474579914,0.0006635524977253,0.0007167191455301,0.0008286207932629,0.0009936066785289,0.0009795532048633,0.0010536748817304,0.0013443724239632,0.0020725694494038,0.0022212381012324,0.0026940579347788,0.003368905596738,0.0035279661770715,0.0031635829026934,0.0037853206012884,0.0041014699395522,0.0039602319036094
