iso,country,IFL.raw.2005,IFL.raw.2006,IFL.raw.2007,IFL.raw.2008,IFL.raw.2009,IFL.raw.2010,IFL.raw.2011,IFL.raw.2012,IFL.raw.2013,IFL.raw.2014,IFL.raw.2015,IFL.raw.2016,IFL.raw.2017,IFL.raw.2018,IFL.raw.2019,IFL.raw.2020,IFL.raw.2021,IFL.raw.2022
AGO,Angola,0.0007979205106402,0.000536217259309,0.0007038540413853,0.0005586359459148,0.0009616232649416,0.0010108347208972,0.0010116402316716,0.0010919608428893,0.0021134253189181,0.0027687203646927,0.0028604646582004,0.003175242369045,0.0030666557890664,0.0021563404930788,0.0012377769277995,0.0010937109850929,0.0012992490891758,0.0013344405563484
ARG,Argentina,0.0004090952948268,0.0004673980897237,0.0003737057673417,0.0004860830783252,0.0004782099116408,0.0005340366735038,0.000547630293111,0.0008297362641003,0.0017109902171476,0.0016935882927832,0.0030915737765739,0.0032564213508749,0.0030090516901738,0.0019703151537133,0.0019278089617147,0.0008566616470811,0.0006081276935774,0.0011903864701649
AUS,Australia,0.0035657395064237,0.0030103540419763,0.0025900811565494,0.0012457141959893,0.0015008452242822,0.0047290518857673,0.0046533971413376,0.0053008977218007,0.0062242393725419,0.0065663040824684,0.0039079790214295,0.004466114994375,0.0037032250233397,0.0031242660827612,0.0129548610111907,0.0237393428855737,0.0230527590110999,0.0231609445096555
BLZ,Belize,0.0006047731400976,0.0005579181634561,0.000521930194907,0.0003902659032954,0.0004494870742729,0.0004208406787095,0.0005365889724498,0.0005477900386378,0.0005951693090064,0.0005988693304302,0.0005842023413289,0.0008955355920126,0.0009293000090345,0.0008108489879972,0.0009425493233521,0.0013692424597394,0.001018698740235,0.0008950942239585
BTN,Bhutan,0.0001179915211842,0.0001421106177996,0.0001533518607785,0.0001576776933411,0.000179524714927,0.0003859273833411,0.0003896032999373,0.0003814178763337,0.0003764899000684,0.0003181542431146,8.72344102131616e-05,0.0001029551458912,0.0001730213431929,0.0001783930613602,0.0001829768263192,0.0001954936445134,0.0001627944499986,9.17196119332026e-05
BOL,Bolivia,0.0004453558705083,0.0005744827902425,0.0007227788007718,0.0009614288829948,0.0010005092118685,0.0016448031827487,0.0018725962178989,0.001903765980183,0.001765718376592,0.0018817277285844,0.0012051781220952,0.0014008707398868,0.0020405651744214,0.0022653290751268,0.0029480766803501,0.0040713595090844,0.0047574645328333,0.0054532194947308
BRA,Brazil,0.0005942912308822,0.0007171366997882,0.000773821194106,0.0007919710308135,0.0006868125290047,0.0006718797714866,0.0006248950192463,0.0006669293355194,0.0006476521865644,0.0007350415952427,0.000742908395778,0.001338816813556,0.0016353634409485,0.0018340308476941,0.0020409937532868,0.0023607177088088,0.002120002185451,0.0022234129046188
BRN,Brunei Darussalam,0.0002122076741332,0.0002141344969902,0.0002931141238988,0.0003604508833173,0.0007466935961543,0.0008828409603039,0.0010912683948204,0.0012734975945488,0.0015196982695811,0.0019142412730219,0.0021713084778258,0.0022170825183945,0.0020714590463972,0.0019621336075205,0.0013719956311344,0.0011962459947295,0.001090773428387,0.0012047520274135
KHM,Cambodia,0.0001336353930927,0.0002226261568904,0.0003011171594118,0.0003415388056212,0.0003994107896575,0.0003545057424674,0.0003282398480571,0.0003366316589051,0.0008178881193899,0.0007807495757826,0.0008287841437602,0.0008873079239638,0.0008597337544742,0.0003732281256573,0.0003838459766629,0.0003393468826882,0.0002688753465852,0.0002247851565593
CMR,Cameroon,6.83418022678574e-05,6.81990534769924e-05,6.79522742440333e-05,6.96505130736928e-05,0.0001322711831739,0.0001354798105337,0.0001346368697611,0.0001378906629596,0.0001956405215408,0.0002185752914237,0.0002401621179099,0.0002773845567781,0.0003255908315559,0.0003144056274556,0.0002960765567863,0.0003307487053848,0.0003578581978659,0.00038659142072
CAF,Central African Republic,5.34900056972618e-05,6.07170996164222e-05,6.37649631984608e-05,9.90053410981399e-05,0.0001030402850597,0.0001612502384983,0.0001624333297972,0.0001706535789266,0.0001682564733707,0.0001959711641338,0.0001693021025248,0.0003419567624238,0.0005088320868468,0.0005743992978306,0.0006732328277991,0.000800467451766,0.0007592481521389,0.0007361474885824
CHN,China,0.001440369682345,0.0012279275996997,0.0007428486229024,0.0008166818212278,0.0004669196262316,0.000391642679923,0.0003792816503434,0.0003364903589077,0.0002368846967447,0.0001732047220596,0.0001365429023026,0.0001503957686204,0.0002240541403709,0.0002427197803848,0.0002729754756406,0.0003211151015491,0.000350337307799,0.0003093458509549
COL,Colombia,5.17503080183818e-05,6.1086534257236e-05,6.69508920781917e-05,8.0009382983916e-05,7.91264408297187e-05,9.17782253544273e-05,9.55171341522007e-05,0.0001157989787414,0.000126077364745,0.0001504743442905,0.0001477963372366,0.0001888810150611,0.0002518824675938,0.0004267370265815,0.0005596532989996,0.000810409232717,0.0009586316445813,0.0011025306082906
CRI,Costa Rica,4.80210799288349e-05,4.77329803350642e-05,4.67151984112211e-05,5.67093870283834e-05,7.52633147368315e-05,6.89105379081406e-05,8.04436954497913e-05,8.84263981546443e-05,8.19392755331101e-05,6.73745672711737e-05,6.09847605323986e-05,4.91638110489701e-05,5.54505088817874e-05,9.65944620402586e-05,9.79390588267181e-05,0.0001225911172852,0.0001474872938295,0.0001339855670179
CIV,Cote d'Ivoire,0.0001866141334621,0.0001948272183298,0.0001548671942648,0.000191511060114,0.0002621072771353,0.0004202470346485,0.0035308976070317,0.004754529032248,0.0048963648308016,0.0072987767062132,0.0077518285372801,0.0058363211563963,0.0048229047430735,0.0067888318007855,0.004826475670173,0.0054302647322015,0.0044531405804597,0.004486529776172
COD,Dem. Rep. Congo,0.0002018442601614,0.0002139543300169,0.0002259282317844,0.0002363597582743,0.000290934627524,0.0003328279112708,0.0003422357111407,0.000380888620638,0.0005393283810417,0.0006690408858521,0.0007552418193993,0.0009707067217244,0.0011253171547431,0.0011966190562205,0.0012848568948888,0.0014485478009294,0.0015136873780932,0.0016303730043472
DOM,Dominican Republic,0.016283055628502,0.0162178398055505,0.016372899140429,0.0163652003229812,0.0159174726669692,0.0004908024870395,0.0005219251151696,0.0007527867141078,0.0005643703433378,0.0006004296478115,0.0005720690920064,0.0004705927665696,0.0001582999310169,0.000195802695351,0.0001502598558476,0.0001960485321668,0.0002418336875612,0.000156475942212
ECU,Ecuador,4.90265888737181e-05,5.19308149583633e-05,5.9108092971287e-05,6.7756003342443e-05,6.77205480465364e-05,6.93628904271214e-05,7.67597409552594e-05,8.64144718534653e-05,9.48592473501632e-05,9.67711449437159e-05,0.0001001449884655,0.0001627804689564,0.0001847496605272,0.0002036917507925,0.0002137171863658,0.0002513712823004,0.000200075972553,0.0002103189582553
GNQ,Equatorial Guinea,0.000110336750192,9.275186646544e-05,0.0001552540862645,0.0001387126532928,0.0001633990602438,0.0002485666644111,0.0002465276224401,0.0001860342096849,0.0002832132473276,0.0005811642806397,0.0007217861309186,0.000849557271795,0.0009163177175014,0.0008572400818169,0.0006022226408608,0.000390199279348,0.0003065828300011,0.0004117232741033
ETH,Ethiopia,0.0002292017626749,0.0002203537688797,0.0002495560289391,0.0002231508313718,0.0002355568223017,0.000215162855819,0.0002341107756031,0.0003266555977552,0.0008641523329854,0.0016242847868999,0.0016457095569542,0.001652244455972,0.0019603507633962,0.0015935001435323,0.0009019319846879,0.000923935262305,0.0009731863490646,0.0005890742286219
GAB,Gabon,0.0001034543885761,0.0001231030554229,0.0001410852792104,0.0001454385535614,0.0002024251062698,0.0001918021939315,0.0001745138122332,0.0001536233234701,0.0002399934770743,0.0002895738121368,0.0003472857925574,0.0004182038566736,0.0004500996543033,0.0003755350487021,0.0002875591506951,0.0002358598454586,0.0001681182780743,0.00016869268996
GTM,Guatemala,0.0003104047455991,0.0004100798063256,0.0008656373370499,0.001227633093836,0.0014997447357054,0.0013398816413607,0.0012546098720776,0.0008814837065031,0.0006789237232828,0.0004211379367905,0.0003963867099696,0.0006653148870946,0.0007023709400417,0.0006027114944604,0.0017504984214246,0.0032441188947507,0.0032302043515365,0.0034255132011412
